customer_id,customer_name,city,gender,age
CUST1000,Chanchal Memon,Hyderabad,Male,54
CUST1001,Dipta Nath,Hyderabad,Other,31
CUST1002,Raksha Ganesan,Hyderabad,Other,54
CUST1003,Aarini Singh,Pune,Female,23
CUST1004,Jack Deo,Hyderabad,Female,29
CUST1005,Gaurav Dewan,Hyderabad,Male,48
CUST1006,Quincy Prakash,Hyderabad,Other,47
CUST1007,Lakshit Datta,Chennai,Female,19
CUST1008,Orinder Dora,Hyderabad,Female,63
CUST1009,Hemang Garde,Hyderabad,Male,45
CUST1010,Wazir Dora,Hyderabad,Female,50
CUST1011,Lavanya Tiwari,Chennai,Other,20
CUST1012,Forum Bakshi,Pune,Female,37
CUST1013,Zaitra Puri,Chennai,Female,31
CUST1014,Samuel Issac,Bengaluru,Female,63
CUST1015,Leena Prakash,Mumbai,Female,44
CUST1016,Amol Gandhi,Hyderabad,Female,29
CUST1017,Balhaar Hans,Mumbai,Male,19
CUST1018,Anay Chahal,Chennai,Male,61
CUST1019,Michael Ganesan,Mumbai,Female,23
CUST1020,Wazir Balan,Chennai,Other,56
CUST1021,Aadhya Behl,Mumbai,Female,54
CUST1022,Amaira Basak,Pune,Other,56
CUST1023,Udarsh Acharya,Mumbai,Female,42
CUST1024,Kevin Munshi,Mumbai,Male,48
CUST1025,Kiaan Chander,Pune,Male,34
CUST1026,Leela Chaudhuri,Bengaluru,Other,36
CUST1027,Timothy Sandal,Bengaluru,Male,60
CUST1028,Mitesh Reddy,Mumbai,Female,65
CUST1029,Vivaan Sangha,Bengaluru,Female,38
CUST1030,Jeremiah Misra,Bengaluru,Male,19
CUST1031,Oviya Saraf,Hyderabad,Male,31
CUST1032,Aradhana Sankaran,Chennai,Other,42
CUST1033,Fitan Jha,Chennai,Male,20
CUST1034,Vihaan Mitra,Mumbai,Male,20
CUST1035,Pahal Mahajan,Mumbai,Male,48
CUST1036,Ekbal Loyal,Hyderabad,Other,47
CUST1037,Gaurika Goel,Pune,Female,59
CUST1038,Barkha Panchal,Pune,Other,46
CUST1039,Balvan Datta,Mumbai,Male,49
CUST1040,Max Tailor,Bengaluru,Male,61
CUST1041,Siddharth Krishnamurthy,Pune,Other,47
CUST1042,Kritika Sehgal,Mumbai,Other,29
CUST1043,Gayathri Atwal,Pune,Other,38
CUST1044,Urvi Barad,Bengaluru,Male,64
CUST1045,Charita Sinha,Chennai,Female,59
CUST1046,Teerth Bora,Bengaluru,Other,62
CUST1047,Lucky Chakraborty,Hyderabad,Female,40
CUST1048,Xiti Keer,Bengaluru,Other,58
CUST1049,Varenya Uppal,Hyderabad,Other,18
CUST1050,Tarak Mukherjee,Pune,Other,18
CUST1051,Avi Garg,Mumbai,Other,50
CUST1052,Sudiksha Comar,Hyderabad,Male,19
CUST1053,Gopal Issac,Bengaluru,Other,45
CUST1054,Anthony Bhasin,Hyderabad,Other,58
CUST1055,Sara Gera,Bengaluru,Female,36
CUST1056,Gautami Deo,Chennai,Male,62
CUST1057,Victor Jayaraman,Bengaluru,Male,46
CUST1058,Krisha Vig,Pune,Male,53
CUST1059,Devansh Nagy,Chennai,Other,36
CUST1060,Victor Jani,Mumbai,Female,36
CUST1061,Tara Sur,Hyderabad,Male,51
CUST1062,Lajita Setty,Pune,Female,47
CUST1063,Nakul Bhandari,Chennai,Other,33
CUST1064,Ojasvi Dar,Mumbai,Other,62
CUST1065,Chaitaly Vaidya,Mumbai,Male,34
CUST1066,Janaki Das,Chennai,Male,34
CUST1067,Ekapad Setty,Mumbai,Female,55
CUST1068,Divya Dani,Hyderabad,Other,59
CUST1069,Chakradev Konda,Pune,Male,55
CUST1070,Ekavir Rana,Hyderabad,Other,25
CUST1071,Lavanya Misra,Chennai,Female,63
CUST1072,Chatresh Agrawal,Hyderabad,Female,52
CUST1073,Ekalinga Chakraborty,Hyderabad,Female,43
CUST1074,Dakshesh Mitter,Pune,Female,49
CUST1075,Vrishti Shanker,Pune,Female,45
CUST1076,Rachit Bala,Bengaluru,Other,65
CUST1077,Advik Tiwari,Pune,Female,52
CUST1078,Harsh Dyal,Pune,Female,20
CUST1079,Eiravati Badami,Chennai,Female,55
CUST1080,Daksh Sabharwal,Bengaluru,Other,50
CUST1081,Dalaja Varughese,Bengaluru,Male,29
CUST1082,Harita Mangat,Hyderabad,Male,39
CUST1083,Krish Devan,Mumbai,Female,29
CUST1084,Upasna Om,Bengaluru,Male,51
CUST1085,Nihal Jaggi,Mumbai,Other,28
CUST1086,Benjamin Bhatt,Bengaluru,Other,48
CUST1087,Aachal Chander,Hyderabad,Other,20
CUST1088,Kashvi Sha,Mumbai,Female,27
CUST1089,Nirja Patla,Pune,Other,34
CUST1090,Zayan Iyer,Pune,Female,48
CUST1091,Krishna Dass,Pune,Male,62
CUST1092,Libni Shere,Pune,Other,32
CUST1093,Shravya Mand,Chennai,Other,53
CUST1094,Pranav Sachdeva,Chennai,Other,33
CUST1095,Eiravati Sahota,Pune,Other,57
CUST1096,Yug Sarma,Chennai,Male,38
CUST1097,Warinder Randhawa,Chennai,Female,64
CUST1098,Widisha Dasgupta,Hyderabad,Female,50
CUST1099,Inaya Zachariah,Bengaluru,Female,55
CUST1100,Ekta Ravel,Bengaluru,Female,23
CUST1101,Sathvik Devan,Mumbai,Other,19
CUST1102,Bhavini Kashyap,Hyderabad,Other,31
CUST1103,Madhavi Taneja,Pune,Female,34
CUST1104,Omya Datta,Mumbai,Female,37
CUST1105,Radhika Magar,Mumbai,Female,65
CUST1106,Raksha Bali,Chennai,Female,34
CUST1107,Gabriel Oza,Hyderabad,Male,56
CUST1108,Yashoda Taneja,Pune,Female,37
CUST1109,Yauvani Nagar,Mumbai,Other,33
CUST1110,Ekiya Agarwal,Mumbai,Other,28
CUST1111,Mahika Shanker,Hyderabad,Male,51
CUST1112,Ekalinga Grewal,Bengaluru,Other,61
CUST1113,Shravya Kakar,Pune,Other,27
CUST1114,Krishna Bail,Mumbai,Female,64
CUST1115,Isha Raja,Pune,Male,27
CUST1116,Nitesh Date,Mumbai,Male,46
CUST1117,Patrick Parsa,Mumbai,Male,33
CUST1118,Xavier Batta,Mumbai,Other,26
CUST1119,Harinakshi Grewal,Mumbai,Female,53
CUST1120,Ikshita Sharaf,Chennai,Male,43
CUST1121,Kamya Wali,Mumbai,Female,40
CUST1122,Rachit Gill,Mumbai,Male,27
CUST1123,Waida Nagar,Pune,Male,52
CUST1124,Arunima Sood,Hyderabad,Male,43
CUST1125,Gunbir Tiwari,Bengaluru,Female,38
CUST1126,Chandani Singhal,Mumbai,Male,60
CUST1127,Yatan Kalita,Mumbai,Male,48
CUST1128,Frederick Raghavan,Hyderabad,Other,55
CUST1129,Quincy Arora,Mumbai,Male,61
CUST1130,Vihaan Magar,Pune,Male,27
CUST1131,Adweta Dhawan,Hyderabad,Other,29
CUST1132,Faras Bera,Pune,Other,24
CUST1133,Jatin Manda,Bengaluru,Male,29
CUST1134,Pranav Raj,Pune,Other,46
CUST1135,Shaurya Shah,Bengaluru,Male,43
CUST1136,Lucky Kamdar,Bengaluru,Male,25
CUST1137,Bina Sastry,Pune,Other,35
CUST1138,Yashasvi Lall,Chennai,Male,35
CUST1139,Devika Patla,Pune,Female,21
CUST1140,Advay Gade,Chennai,Female,55
CUST1141,Fiyaz Ravel,Pune,Other,52
CUST1142,Rohan Tak,Mumbai,Female,39
CUST1143,Arin Behl,Hyderabad,Other,32
CUST1144,Atharv Barad,Hyderabad,Other,54
